DPT du siège de la coll.;Id SISPEA de la collectivité;Nom collectivité;Type collectivité;Id SISPEA de l'entité de gestion;Nom de l'entité de gestion;Mode de gestion;Pop de l'entité de gestion sans double compte;Statut;D201.0;Verif_D201.0;CalculAuto_D201.0;D204.0;Verif_D204.0;CalculAuto_D204.0;VP.056;VP.190;VP.177;VP.179;VP.218;VP.178;VP.219;VP.228;VP.191;VP.175;VP.213;VP.229;VP.217;DC.184;Borne inférieure Tranche 1 (part collectivité);Borne supérieure Tranche 1 (part collectivité);Prix Tranche 1 (part collectivité);Borne inférieure Tranche 2 (part collectivité);Borne supérieure Tranche 2 (part collectivité);Prix Tranche 2 (part collectivité);Borne inférieure Tranche 3 (part collectivité);Borne supérieure Tranche 3 (part collectivité);Prix Tranche 3 (part collectivité);Borne inférieure Tranche 4 (part collectivité);Borne supérieure Tranche 4 (part collectivité);Prix Tranche 4 (part collectivité);Borne inférieure Tranche 5 (part collectivité);Borne supérieure Tranche 5 (part collectivité);Prix Tranche 5 (part collectivité);Borne inférieure Tranche 6 (part collectivité);Borne supérieure Tranche 6 (part collectivité);Prix Tranche 6 (part collectivité);Borne inférieure Tranche 7 (part collectivité);Borne supérieure Tranche 7 (part collectivité);Prix Tranche 7 (part collectivité);Borne inférieure Tranche 8 (part collectivité);Borne supérieure Tranche 8 (part collectivité);Prix Tranche 8 (part collectivité);Borne inférieure Tranche 9 (part collectivité);Borne supérieure Tranche 9 (part collectivité);Prix Tranche 9 (part collectivité);Borne inférieure Tranche 10 (part collectivité);Borne supérieure Tranche 10 (part collectivité);Prix Tranche 10 (part collectivité);Borne inférieure Tranche 1 (part délégataire);Borne supérieure Tranche 1 (part délégataire);Prix Tranche 1 (part délégataire);Borne inférieure Tranche 2 (part délégataire);Borne supérieure Tranche 2 (part délégataire);Prix Tranche 2 (part délégataire);Borne inférieure Tranche 3 (part délégataire);Borne supérieure Tranche 3 (part délégataire);Prix Tranche 3 (part délégataire);Borne inférieure Tranche 4 (part délégataire);Borne supérieure Tranche 4 (part délégataire);Prix Tranche 4 (part délégataire);Borne inférieure Tranche 5 (part délégataire);Borne supérieure Tranche 5 (part délégataire);Prix Tranche 5 (part délégataire);Borne inférieure Tranche 6 (part délégataire);Borne supérieure Tranche 6 (part délégataire);Prix Tranche 6 (part délégataire);Borne inférieure Tranche 7 (part délégataire);Borne supérieure Tranche 7 (part délégataire);Prix Tranche 7 (part délégataire);Borne inférieure Tranche 8 (part délégataire);Borne supérieure Tranche 8 (part délégataire);Prix Tranche 8 (part délégataire);Borne inférieure Tranche 9 (part délégataire);Borne supérieure Tranche 9 (part délégataire);Prix Tranche 9 (part délégataire);Borne inférieure Tranche 10 (part délégataire);Borne supérieure Tranche 10 (part délégataire);Prix Tranche 10 (part délégataire)
001;CollectivityId=212297;COMMUNAUTE DE COMMUNES DOMBES SAÔNE VALLÉE (CCDSV);Communauté de communes;ServiceId=213996;assainissement collectif : Villeneuve;Régie;1501;Confirmé / publié;1493;Sans anomalie apparente;0;2,87;Sans anomalie apparente;1;595;;;50,52;0;294;0;51,34;60;1493;10;2,51;0,16;;0;;1,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=212297;COMMUNAUTE DE COMMUNES DOMBES SAÔNE VALLÉE (CCDSV);Communauté de communes;ServiceId=284754;assainissement collectif : Saint-Jean-de-Thurigneux;Régie;771;Confirmé / publié;550;Sans anomalie apparente;0;2,87;Sans anomalie apparente;1;210;;;50,52;0;294;0;63,64;60;550;10;2,62;0,16;;0;;1,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=212297;COMMUNAUTE DE COMMUNES DOMBES SAÔNE VALLÉE (CCDSV);Communauté de communes;ServiceId=284734;assainissement collectif : Civrieux bourg;Régie;840;Confirmé / publié;1851;Sans anomalie apparente;0;2,87;Sans anomalie apparente;1;726;;;50,52;0;294;0;67,28;60;1851;10;2,55;0,16;;0;;1,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=212297;COMMUNAUTE DE COMMUNES DOMBES SAÔNE VALLÉE (CCDSV);Communauté de communes;ServiceId=213997;assainissement collectif : Reyrieux,Parcieux,Massieux,Saint Bernard,Trevoux;Régie;16871;Confirmé / publié;19018;Sans anomalie apparente;0;2,87;Sans anomalie apparente;1;8014;;;50,52;0;294;0;65,41;60;19018;10;2,37;0,16;;0;;1,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=212297;COMMUNAUTE DE COMMUNES DOMBES SAÔNE VALLÉE (CCDSV);Communauté de communes;ServiceId=213999;assainissement collectif : Fareins;Régie;2204;Confirmé / publié;2629;Sans anomalie apparente;0;2,87;Sans anomalie apparente;1;1158;;;50,52;0;294;0;54,14;60;2629;10;2,27;0,16;;0;;1,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182103;Saint-André-de-Corcy;Commune;ServiceId=182590;assainissement collectif;Délégation;3354;Confirmé / publié;3119;Sans anomalie apparente;0;2,18;Sans anomalie apparente;1;1532;31,04;124,18;43;;94,6;;60,13;25;3119;10;2,04;0,16;;0;;0,58;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0,7762;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181946;Cleyzieu;Commune;ServiceId=182377;assainissement collectif;Régie;136;Vérifié;113;Présomption d'anomalie;0;1,17;Présomption d'anomalie;1;113;;;30,74;0;109,41;0;39,1;3,81;113;10;1;0,15;7054,22;0;;0,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=220429;Arboys en Bugey;Commune;ServiceId=212312;assainissement collectif (SAINT-BOIS);Régie;322;En attente de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182154;Sermoyer;Commune;ServiceId=182655;assainissement collectif;Délégation;668;Confirmé / publié;672;Sans anomalie apparente;0;2,86;Sans anomalie apparente;1;335;41,1;145,2;50,44;;148;;27,92;28;672;10;2,01;0,16;;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0,8675;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182226;SIVU LAGNIEU ST SORLIN EN BUGEY;Syndicat Intercommunal à Vocation Unique;ServiceId=182752;assainissement collectif;Régie;4149;Confirmé / publié;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
