DPT du siège de la coll.;Id SISPEA de la collectivité;Nom collectivité;Type collectivité;Id SISPEA de l'entité de gestion;Nom de l'entité de gestion;Mode de gestion;Pop de l'entité de gestion sans double compte;Statut;D101.0;Verif_D101.0;CalculAuto_D101.0;D102.0;Verif_D102.0;CalculAuto_D102.0;VP.056;VP.190;VP.177;VP.216;VP.179;VP.178;VP.219;VP.215;VP.214;VP.191;VP.175;VP.213;VP.229;DC.184;Borne inférieure Tranche 1 (part collectivité);Borne supérieure Tranche 1 (part collectivité);Prix Tranche 1 (part collectivité);Borne inférieure Tranche 2 (part collectivité);Borne supérieure Tranche 2 (part collectivité);Prix Tranche 2 (part collectivité);Borne inférieure Tranche 3 (part collectivité);Borne supérieure Tranche 3 (part collectivité);Prix Tranche 3 (part collectivité);Borne inférieure Tranche 4 (part collectivité);Borne supérieure Tranche 4 (part collectivité);Prix Tranche 4 (part collectivité);Borne inférieure Tranche 5 (part collectivité);Borne supérieure Tranche 5 (part collectivité);Prix Tranche 5 (part collectivité);Borne inférieure Tranche 6 (part collectivité);Borne supérieure Tranche 6 (part collectivité);Prix Tranche 6 (part collectivité);Borne inférieure Tranche 7 (part collectivité);Borne supérieure Tranche 7 (part collectivité);Prix Tranche 7 (part collectivité);Borne inférieure Tranche 8 (part collectivité);Borne supérieure Tranche 8 (part collectivité);Prix Tranche 8 (part collectivité);Borne inférieure Tranche 9 (part collectivité);Borne supérieure Tranche 9 (part collectivité);Prix Tranche 9 (part collectivité);Borne inférieure Tranche 10 (part collectivité);Borne supérieure Tranche 10 (part collectivité);Prix Tranche 10 (part collectivité);Borne inférieure Tranche 1 (part délégataire);Borne supérieure Tranche 1 (part délégataire);Prix Tranche 1 (part délégataire);Borne inférieure Tranche 2 (part délégataire);Borne supérieure Tranche 2 (part délégataire);Prix Tranche 2 (part délégataire);Borne inférieure Tranche 3 (part délégataire);Borne supérieure Tranche 3 (part délégataire);Prix Tranche 3 (part délégataire);Borne inférieure Tranche 4 (part délégataire);Borne supérieure Tranche 4 (part délégataire);Prix Tranche 4 (part délégataire);Borne inférieure Tranche 5 (part délégataire);Borne supérieure Tranche 5 (part délégataire);Prix Tranche 5 (part délégataire);Borne inférieure Tranche 6 (part délégataire);Borne supérieure Tranche 6 (part délégataire);Prix Tranche 6 (part délégataire);Borne inférieure Tranche 7 (part délégataire);Borne supérieure Tranche 7 (part délégataire);Prix Tranche 7 (part délégataire);Borne inférieure Tranche 8 (part délégataire);Borne supérieure Tranche 8 (part délégataire);Prix Tranche 8 (part délégataire);Borne inférieure Tranche 9 (part délégataire);Borne supérieure Tranche 9 (part délégataire);Prix Tranche 9 (part délégataire);Borne inférieure Tranche 10 (part délégataire);Borne supérieure Tranche 10 (part délégataire);Prix Tranche 10 (part délégataire)
001;CollectivityId=182013;Labalme;Commune;ServiceId=182769;eau potable;Régie;105;En attente de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182004;Innimond;Commune;ServiceId=182450;eau potable;Régie;89;En cours de saisie;;Non vérifié;0;1,11;Non vérifié;1;;;;0,28;33,6;100;;;;15;;0;;;0;100;0,7;100;200;0,75;200;500;0,85;500;1000;0,75;1000;2000;0,7;2000;2500;0,75;2500;;0,85;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=270434;Syndicat des eaux Dombes Cotiere;Syndicat Intercommunal à Vocation Unique;ServiceId=270514;eau potable : ex : SIE MEXIMIEUX ET COTIÈRE;Délégation;13963;Confirmé / publié;14211;Sans anomalie apparente;0;1,57;Sans anomalie apparente;1;6891;20,08;69,64;0,28;54,48;64,64;;0,092;;3,44;14211;5,5;2,06;1088654;0;;0,51;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0,413;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182035;Marchamp;Commune;ServiceId=182498;eau potable;Régie;131;Confirmé / publié;131;Sans anomalie apparente;0;1,6;Sans anomalie apparente;1;94;;;0,28;43,63;148,76;;;;40,76;131;5,5;1,39;9266;0;;0,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182197;COMMUNAUTE D'AGGLOMERATION DU PAYS DE GEX;Communauté d'agglomération;ServiceId=182719;eau potable;Régie;94836;Confirmé / publié;107583;Sans anomalie apparente;0;2,03;Sans anomalie apparente;1;33582;;;0,28;52,32;191,7;0;0,05;0;36,3;107583;5,5;3,2;12962361;0;;1,295;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182014;Lagnieu;Commune;ServiceId=182464;eau potable;Délégation;7143;Confirmé / publié;7289;Sans anomalie apparente;0;1,74;Sans anomalie apparente;1;3667;34,24;86,21;0,28;62,05;60;0;0,1466;0;0;7289;5,5;1,99;;0;;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0,4331;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181967;Cressin-Rochefort;Commune;ServiceId=182404;eau potable;Régie;392;Confirmé / publié;433;Sans anomalie apparente;0;1,6;Sans anomalie apparente;1;246;;;0,28;33,6;158;;;;20;433;0;1,76;;0;;1,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182057;Murs-et-Gélignieux;Commune;ServiceId=182529;eau potable;Régie;252;En attente de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181888;Belley;Commune;ServiceId=182283;eau potable;Régie;9103;Confirmé / publié;9520;Sans anomalie apparente;0;1,52;Sans anomalie apparente;1;5645;;;0,28;52,08;129,78;0;0,075;0;38,94;9520;5,5;1,69;936932;0;;0,757;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182231;SIE BASSE VALLÉE DE LA VALSERINE;Syndicat Intercommunal à Vocation Unique;ServiceId=182757;eau potable;Régie;8768;En cours de saisie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
