DPT du siège de la coll.;Id SISPEA de la collectivité;Nom collectivité;Type collectivité;Id SISPEA de l'entité de gestion;Nom de l'entité de gestion;Mode de gestion;Pop de l'entité de gestion sans double compte;Statut;D201.0;Verif_D201.0;CalculAuto_D201.0;D204.0;Verif_D204.0;CalculAuto_D204.0;VP.056;VP.190;VP.177;VP.179;VP.218;VP.178;VP.219;VP.228;VP.191;VP.175;VP.213;VP.229;VP.217;DC.184;Borne inférieure Tranche 1 (part collectivité);Borne supérieure Tranche 1 (part collectivité);Prix Tranche 1 (part collectivité);Borne inférieure Tranche 2 (part collectivité);Borne supérieure Tranche 2 (part collectivité);Prix Tranche 2 (part collectivité);Borne inférieure Tranche 3 (part collectivité);Borne supérieure Tranche 3 (part collectivité);Prix Tranche 3 (part collectivité);Borne inférieure Tranche 4 (part collectivité);Borne supérieure Tranche 4 (part collectivité);Prix Tranche 4 (part collectivité);Borne inférieure Tranche 5 (part collectivité);Borne supérieure Tranche 5 (part collectivité);Prix Tranche 5 (part collectivité);Borne inférieure Tranche 6 (part collectivité);Borne supérieure Tranche 6 (part collectivité);Prix Tranche 6 (part collectivité);Borne inférieure Tranche 7 (part collectivité);Borne supérieure Tranche 7 (part collectivité);Prix Tranche 7 (part collectivité);Borne inférieure Tranche 8 (part collectivité);Borne supérieure Tranche 8 (part collectivité);Prix Tranche 8 (part collectivité);Borne inférieure Tranche 9 (part collectivité);Borne supérieure Tranche 9 (part collectivité);Prix Tranche 9 (part collectivité);Borne inférieure Tranche 10 (part collectivité);Borne supérieure Tranche 10 (part collectivité);Prix Tranche 10 (part collectivité);Borne inférieure Tranche 1 (part délégataire);Borne supérieure Tranche 1 (part délégataire);Prix Tranche 1 (part délégataire);Borne inférieure Tranche 2 (part délégataire);Borne supérieure Tranche 2 (part délégataire);Prix Tranche 2 (part délégataire);Borne inférieure Tranche 3 (part délégataire);Borne supérieure Tranche 3 (part délégataire);Prix Tranche 3 (part délégataire);Borne inférieure Tranche 4 (part délégataire);Borne supérieure Tranche 4 (part délégataire);Prix Tranche 4 (part délégataire);Borne inférieure Tranche 5 (part délégataire);Borne supérieure Tranche 5 (part délégataire);Prix Tranche 5 (part délégataire);Borne inférieure Tranche 6 (part délégataire);Borne supérieure Tranche 6 (part délégataire);Prix Tranche 6 (part délégataire);Borne inférieure Tranche 7 (part délégataire);Borne supérieure Tranche 7 (part délégataire);Prix Tranche 7 (part délégataire);Borne inférieure Tranche 8 (part délégataire);Borne supérieure Tranche 8 (part délégataire);Prix Tranche 8 (part délégataire);Borne inférieure Tranche 9 (part délégataire);Borne supérieure Tranche 9 (part délégataire);Prix Tranche 9 (part délégataire);Borne inférieure Tranche 10 (part délégataire);Borne supérieure Tranche 10 (part délégataire);Prix Tranche 10 (part délégataire)
001;CollectivityId=182156;Serrières-sur-Ain;Commune;ServiceId=182659;assainissement collectif;Régie;136;Confirmé / publié;64;Sans anomalie apparente;0;1,79;Sans anomalie apparente;1;42;;;19,2;;195,8;;41,18;78,32;64;0;1,52;0,16;;0;;0,979;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181977;Dompierre-sur-Chalaronne;Commune;ServiceId=182418;assainissement collectif;Régie;439;En cours de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182037;Marlieux;Commune;ServiceId=182502;assainissement collectif;Régie;1266;Vérifié;1077;Sans anomalie apparente;0;1,92;Sans anomalie apparente;1;449;;;19,2;0;211,2;0;35,92;0;1077;0;2,4;0,16;71266,79;0;;1,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181927;Chaneins;Commune;ServiceId=182349;assainissement collectif;Délégation;982;En attente de vérification;;Non vérifié;0;;Non vérifié;1;355;;;;;249,87;;;64,36;;0;;0,16;64657,66;0;;1,5459;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=212297;COMMUNAUTE DE COMMUNES DOMBES SAÔNE VALLÉE (CCDSV);Communauté de communes;ServiceId=214002;assainissement collectif : Saint Didier sur Formans, Sainte Euphémie, Miserieux, Toussieux;Régie;7328;Confirmé / publié;7310;Sans anomalie apparente;0;2,87;Sans anomalie apparente;1;2727;;;50,52;;294;;45,81;60;7310;10;2,68;0,16;;0;;1,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181906;Boz;Commune;ServiceId=182312;assainissement collectif;Régie;530;En attente de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182004;Innimond;Commune;ServiceId=182451;assainissement collectif;Régie;87;Vérifié;;Non vérifié;0;0,61;Présomption d'anomalie;1;;;;21,79;;51;;;15;;5,5;;0,15;;0;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181984;Faramans;Commune;ServiceId=182427;assainissement collectif;Régie;855;En attente de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=196926;COMMUNAUTE D'AGGLOMERATION DU BASSIN DE BOURG EN BRESSE ;Communauté d'agglomération;ServiceId=182620;assainissement collectif : régie;Régie;125955;Confirmé / publié;105304;Sans anomalie apparente;0;1,55;Sans anomalie apparente;1;54922;;;36,06;;149,43;;61,09;4;105304;10;1,92;0,16;8105907;0;;1,2119;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181944;Chevroux;Commune;ServiceId=182374;assainissement collectif;Régie;981;Confirmé / publié;750;Sans anomalie apparente;0;1,94;Sans anomalie apparente;1;343;;;40,32;;192;;33,96;72;750;10;2,19;0,16;98703;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182097;Rignieux-le-Franc;Commune;ServiceId=182582;assainissement collectif;Régie;1084;Confirmé / publié;1084;Sans anomalie apparente;0;1,81;Sans anomalie apparente;1;502;;;38,92;0;178;0;60,48;40;1084;10;2,16;0,16;97354;0;;1,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182012;Jujurieux;Commune;ServiceId=182462;assainissement collectif;Régie;2173;En cours de saisie;2168;Non vérifié;0;3,23;Non vérifié;1;1139;;;19,2;0;368;0;75,93;56;2168;0;1,9;0,16;297130,03;0;;2,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=195362;COMMUNAUTE DE COMMUNES  DE LA VEYLE;Communauté de communes;ServiceId=279194;assainissement collectif : Régie;Régie;16522;Confirmé / publié;11373;Sans anomalie apparente;0;1,43;Sans anomalie apparente;1;5217;;;34,78;;136,65;;41,94;26,25;11373;10;2,18;0,16;638644,92;0;;0,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=212297;COMMUNAUTE DE COMMUNES DOMBES SAÔNE VALLÉE (CCDSV);Communauté de communes;ServiceId=213994;assainissement collectif : Ars sur Formans;Régie;1520;Confirmé / publié;1706;Sans anomalie apparente;0;2,87;Sans anomalie apparente;1;651;;;50,52;0;294;0;59,78;60;1706;10;2,62;0,16;;0;;1,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182205;SIE du BOREY;Syndicat Intercommunal à Vocation Unique;ServiceId=182728;assainissement collectif;Régie;593;Confirmé / publié;564;Sans anomalie apparente;0;2,24;Sans anomalie apparente;1;391;;;43,68;;225,6;;24,33;0;564;10;1,44;0,16;41442,24;0;;1,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=212297;COMMUNAUTE DE COMMUNES DOMBES SAÔNE VALLÉE (CCDSV);Communauté de communes;ServiceId=284734;assainissement collectif : Civrieux bourg;Régie;959;Confirmé / publié;1736;Sans anomalie apparente;0;2,87;Sans anomalie apparente;1;665;;;50,52;0;294;0;63,76;60;1736;10;2,61;0,16;;0;;1,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=212297;COMMUNAUTE DE COMMUNES DOMBES SAÔNE VALLÉE (CCDSV);Communauté de communes;ServiceId=284754;assainissement collectif : Saint-Jean-de-Thurigneux;Régie;821;Confirmé / publié;612;Sans anomalie apparente;0;2,87;Sans anomalie apparente;1;226;;;50,52;0;294;;60,75;60;612;10;2,71;0,16;;0;;1,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=212297;COMMUNAUTE DE COMMUNES DOMBES SAÔNE VALLÉE (CCDSV);Communauté de communes;ServiceId=214000;assainissement collectif : Rancé;Régie;753;Confirmé / publié;758;Sans anomalie apparente;0;2,87;Sans anomalie apparente;1;267;;;50,52;;294;;35,22;60;758;10;2,84;0,16;;0;;1,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182137;Saint-Maurice-de-Rémens;Commune;ServiceId=182633;assainissement collectif;Régie;774;En attente de vérification;695;Non vérifié;0;1,61;Non vérifié;1;377;;;19,2;;174,4;;67,08;34;695;0;1,84;0,16;;0;;1,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182022;Leyment;Commune;ServiceId=182477;assainissement collectif;Délégation;1361;Confirmé / publié;1423;Sans anomalie apparente;0;1,49;Sans anomalie apparente;1;588;13,18;32,5;35,49;0;111,24;0;58,1;21;1423;10;2,42;0,16;70462;0;;0,752;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0,161;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182164;Sulignat;Commune;ServiceId=182670;assainissement collectif;Régie;623;En cours de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;7003,92;;;6886,32;;;;;;0;;0,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182234;COMMUNAUTÉ DE COMMUNES Val de Saone Centre;Communauté de communes;ServiceId=182760;assainissement collectif;Délégation;21262;Confirmé / publié;18963;Sans anomalie apparente;0;3,24;Sans anomalie apparente;1;8779;42,42;187,62;54,52;;146,34;;47,65;32,2;18963;10;2,16;0,16;;0;;0,9512;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;1,21;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182068;Ozan;Commune;ServiceId=182543;assainissement collectif;Régie;713;Confirmé / publié;779;Sans anomalie apparente;0;2,52;Sans anomalie apparente;1;341;;;46,72;;256;;37,89;82;779;10;2,28;0,16;72444,06;0;;1,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=277314;COMMUNAUTE DE COMMUNES TERRE VALSERHONE;Communauté de communes;ServiceId=282354;assainissement collectif;Régie;22421;Confirmé / publié;20840;Sans anomalie apparente;0;2,61;Sans anomalie apparente;1;11807;;;47,72;0;266;0;66,15;50;20840;10;1,77;0,16;2319880;0;120;1,8;120;500;2,4;500;;2,5;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182065;Ordonnaz;Commune;ServiceId=182541;assainissement collectif;Régie;136;Vérifié;255;Sans anomalie apparente;0;1,28;Sans anomalie apparente;1;128;;;33,14;0;120,2;0;50,2;17;255;10;1,99;0,16;8856,32;0;;0,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=212297;COMMUNAUTE DE COMMUNES DOMBES SAÔNE VALLÉE (CCDSV);Communauté de communes;ServiceId=213995;assainissement collectif : Civrieux Fagne;Régie;959;Confirmé / publié;82;Sans anomalie apparente;0;2,87;Sans anomalie apparente;1;68;;;50,52;0;294;0;18,63;60;82;10;1,21;0,16;;0;;1,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181891;Bénonces;Commune;ServiceId=182289;assainissement collectif;Régie;312;Confirmé / publié;323;Sans anomalie apparente;0;1,76;Sans anomalie apparente;1;196;;;19,2;0;192,23;0;49;98,63;323;0;1,65;0,16;30884,75;0;;0,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
