DPT du siège de la coll.;Id SISPEA de la collectivité;Nom collectivité;Type collectivité;Id SISPEA de l'entité de gestion;Nom de l'entité de gestion;Mode de gestion;Pop de l'entité de gestion sans double compte;Statut;D201.0;Verif_D201.0;CalculAuto_D201.0;D204.0;Verif_D204.0;CalculAuto_D204.0;VP.056;VP.190;VP.177;VP.179;VP.218;VP.178;VP.219;VP.228;VP.191;VP.175;VP.213;VP.229;VP.217;DC.184;Borne inférieure Tranche 1 (part collectivité);Borne supérieure Tranche 1 (part collectivité);Prix Tranche 1 (part collectivité);Borne inférieure Tranche 2 (part collectivité);Borne supérieure Tranche 2 (part collectivité);Prix Tranche 2 (part collectivité);Borne inférieure Tranche 3 (part collectivité);Borne supérieure Tranche 3 (part collectivité);Prix Tranche 3 (part collectivité);Borne inférieure Tranche 4 (part collectivité);Borne supérieure Tranche 4 (part collectivité);Prix Tranche 4 (part collectivité);Borne inférieure Tranche 5 (part collectivité);Borne supérieure Tranche 5 (part collectivité);Prix Tranche 5 (part collectivité);Borne inférieure Tranche 6 (part collectivité);Borne supérieure Tranche 6 (part collectivité);Prix Tranche 6 (part collectivité);Borne inférieure Tranche 7 (part collectivité);Borne supérieure Tranche 7 (part collectivité);Prix Tranche 7 (part collectivité);Borne inférieure Tranche 8 (part collectivité);Borne supérieure Tranche 8 (part collectivité);Prix Tranche 8 (part collectivité);Borne inférieure Tranche 9 (part collectivité);Borne supérieure Tranche 9 (part collectivité);Prix Tranche 9 (part collectivité);Borne inférieure Tranche 10 (part collectivité);Borne supérieure Tranche 10 (part collectivité);Prix Tranche 10 (part collectivité);Borne inférieure Tranche 1 (part délégataire);Borne supérieure Tranche 1 (part délégataire);Prix Tranche 1 (part délégataire);Borne inférieure Tranche 2 (part délégataire);Borne supérieure Tranche 2 (part délégataire);Prix Tranche 2 (part délégataire);Borne inférieure Tranche 3 (part délégataire);Borne supérieure Tranche 3 (part délégataire);Prix Tranche 3 (part délégataire);Borne inférieure Tranche 4 (part délégataire);Borne supérieure Tranche 4 (part délégataire);Prix Tranche 4 (part délégataire);Borne inférieure Tranche 5 (part délégataire);Borne supérieure Tranche 5 (part délégataire);Prix Tranche 5 (part délégataire);Borne inférieure Tranche 6 (part délégataire);Borne supérieure Tranche 6 (part délégataire);Prix Tranche 6 (part délégataire);Borne inférieure Tranche 7 (part délégataire);Borne supérieure Tranche 7 (part délégataire);Prix Tranche 7 (part délégataire);Borne inférieure Tranche 8 (part délégataire);Borne supérieure Tranche 8 (part délégataire);Prix Tranche 8 (part délégataire);Borne inférieure Tranche 9 (part délégataire);Borne supérieure Tranche 9 (part délégataire);Prix Tranche 9 (part délégataire);Borne inférieure Tranche 10 (part délégataire);Borne supérieure Tranche 10 (part délégataire);Prix Tranche 10 (part délégataire)
001;CollectivityId=182178;Vernoux;Commune;ServiceId=182691;assainissement collectif;Régie;323;En attente de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181928;Chanoz-Châtenay;Commune;ServiceId=182350;assainissement collectif;Régie;796;En attente de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182158;Servignat;Commune;ServiceId=182661;assainissement collectif;Régie;176;En attente de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181954;Contrevoz;Commune;ServiceId=182387;assainissement collectif;Régie;523;Confirmé / publié;518;Sans anomalie apparente;0;0,81;Sans anomalie apparente;1;317;;;26,85;0;70,48;0;26,82;4,48;518;10;1,63;0,15;;0;;0,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=220334;Groslée-Saint-Benoit;Commune;ServiceId=212304;assainissement collectif (GROSLEE);Régie;606;En attente de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182097;Rignieux-le-Franc;Commune;ServiceId=182582;assainissement collectif;Régie;986;Vérifié;965;Sans anomalie apparente;0;1,36;Sans anomalie apparente;1;600;;;32,8;;130;;74,07;40;965;10;1,61;0,15;;0;;0,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182071;Pérouges;Commune;ServiceId=182548;assainissement collectif;Régie;1233;En attente de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181911;Bressolles;Commune;ServiceId=182321;assainissement collectif;Régie;;En attente de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182013;Labalme;Commune;ServiceId=182463;assainissement collectif;Régie;212;En attente de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181882;Baneins;Commune;ServiceId=182276;assainissement collectif;Régie;594;Confirmé / publié;303;Sans anomalie apparente;0;1,28;Sans anomalie apparente;1;166;;;31,95;;121,53;;51,88;1,53;303;10;1,83;0,15;;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
