Nom de la commune adhérente,Somme de Tarif zone tarifaire 1,Somme de DPT de la commune,Somme de Code INSEE de la commune adhérente,Somme de Identifiant SISPEA de la commune adhérente
Arfons,30,81,81016,33735
Mézidon Vallée d'Auge,29.17,112,115448,1766576
Pont-sur-Yonne,28.15,89,89309,36109
Bacouel-sur-Selle,26.86,80,80050,32984
Plachy-Buyon,26.86,80,80627,33528
Prouzel,26.86,80,80643,33542
Deux-Grosnes,25.32,414,414810,1562166
Saint-Aubin,24.450999999999997,450,453843,181566
Le Poiré-sur-Vie,23.35,85,85178,34709
Saint-Laurent,22.980000000000004,223,225107,89468
Châteauvillain,22.2,52,52114,20333
Saint-Paul,18.41,1299,424710,170268
Saint-Marcel,17.990000000000002,370,372727,153293
Saint-Sauveur,17.57,252,255129,102939
Saint-Martin-des-Champs,17.529999999999998,290,291676,119308
Saint-Hippolyte,16.759999999999998,225,226784,92365
Saint-James,16.6,250,252435,1103995
Caumont,16.59,213,213585,86641
Saint-Sulpice,16.099999999999998,320,322508,132948
Verrières,15.91,283,285545,115574
Saint-Clément,15.879999999999999,214,215654,85010
Saint-Didier,15.119,237,238635,96193
Le Pin,14.98,351,352453,144480
Saint-Symphorien,14.92,264,266262,109310
Saint-Brice,14.76,179,180289,72761
Beaulieu,14.440000000000001,215,215165,282941
Longueville,14.240000000000002,236,237213,95395
Montaut,14.149999999999999,191,192335,77411
La Trinité,14.139999999999999,2073,324518,126611
Le Controis-en-Sologne,14.03,205,205295,1301665
Putanges-le-Lac,13.940000000000001,183,184017,661230
Villeneuve,13.64,117,119240,49741
Apremont,13.28,289,289080,118375
Sainte-Marie,13.110000000000001,2071,320854,125771
Andilly,13.11,376,376059,147093
Juvigny les Vallées,13.08,200,201040,883116
Rochechinard,13.04,26,26270,10335
Bellengreville,12.989999999999998,166,166199,67214
Saint-Sauveur-Villages,12.93,200,202200,1042728
Saint-Pierre-en-Auge,12.71,42,43962,662421
Saint-Germain-des-Prés,12.69,199,200231,79972
Saint-Maurice,12.62,370,371396,148627
Quettreville-sur-Sienne,12.57,150,151257,780897
Baugy,12.43,149,149095,314234
Saint-Rémy,12.42,196,198289,80730
Saint-Léonard,12.11,277,279271,113425
Peyre en Aubrac,12.01,288,288054,1324116
Montreuil,11.969999999999999,299,299511,119315
