Nom de la commune adhérente,Somme de DPT de la commune,Somme de Code INSEE de la commune adhérente,Somme de Tarif zone tarifaire 1
Saint-Joseph,3010,384600,12.99
Sainte-Marie,2169,419885,20.599999999999998
Saint-Pierre,2153,403984,20.729999999999997
La Trinité,2100,352177,17.11
Saint-Louis,2070,320455,9.04
Sainte-Anne,2041,293424,13.969999999999999
Awala-Yalimapo,1946,194722,6.1499999999999995
Sainte-Rose,1945,194548,4.300000000000001
Le Lamentin,1944,194426,5.8
Saint-Paul,1387,513141,20.56
Bellefontaine,1194,319384,12.31
Saint-André,1184,308641,11.35
Saint-Denis,1108,232063,7.91
Saint-Claude,1088,215558,14.709999999999999
Saint-Benoît,1075,199131,9.98
Port-Louis,1027,153303,5.08
Sainte-Luce,1010,135641,5.42
Sainte-Suzanne,1008,132288,6.529999999999999
Le Port,983,106638,3.5
Acoua,976,97601,2.39
Bandraboua,976,97602,2.39
Bandrele,976,97603,2.39
Bouéni,976,97604,2.39
Chiconi,976,97605,2.39
Chirongui,976,97606,2.39
Dembeni,976,97607,2.39
Dzaoudzi,976,97608,2.39
Kani-Kéli,976,97609,2.39
Koungou,976,97610,2.39
Mamoudzou,976,97611,2.39
Mtsamboro,976,97612,2.39
M'Tsangamouji,976,97613,2.39
Ouangani,976,97614,2.39
Pamandzi,976,97615,2.39
Sada,976,97616,2.39
Tsingoni,976,97617,2.39
Bras-Panon,974,97402,0.98
Entre-Deux,974,97403,1.22
L' Étang-Salé,974,97404,1.42
La Plaine-des-Palmistes,974,97406,1.46
La Possession,974,97408,1.75
Le Tampon,974,97422,1.22
Les Trois-Bassins,974,97423,1.45
Saint-Leu,974,97413,1.54
Saint-Philippe,974,97417,1.22
Salazie,974,97421,2.7
Apatou,973,97360,3.78
Grand-Santi,973,97357,1.87
Iracoubo,973,97303,4.4
Macouria,973,97305,2.69
Mana,973,97306,2.01
Maripasoula,973,97353,3.17
Matoury,973,97307,2.69
Montsinéry-Tonnegrande,973,97313,2.69
Papaichton,973,97362,2.74
Remire-Montjoly,973,97309,2.69
Roura,973,97310,2.69
Saint-Laurent-du-Maroni,973,97311,2.39
Basse-Pointe,972,97203,3.16
Case-Pilote,972,97205,3.16
Ducos,972,97207,3.05
Fonds-Saint-Denis,972,97208,3.16
Fort-de-France,972,97209,2.75
Grand'Rivière,972,97211,3.16
Gros-Morne,972,97212,3.16
L' Ajoupa-Bouillon,972,97201,3.16
Le Carbet,972,97204,3.16
Le Diamant,972,97206,3.05
Le François,972,97210,3.05
Le Lorrain,972,97214,3.16
Le Marigot,972,97216,3.16
Le Marin,972,97217,3.05
Le Morne-Rouge,972,97218,3.16
Le Morne-Vert,972,97233,3.16
Le Prêcheur,972,97219,3.16
Le Robert,972,97222,2.96
Le Vauclin,972,97232,3.05
Les Anses-d'Arlet,972,97202,3.05
Les Trois-Îlets,972,97231,3.05
Macouba,972,97215,3.16
Rivière-Pilote,972,97220,3.05
Rivière-Salée,972,97221,3.05
Saint-Esprit,972,97223,3.05
Schoelcher,972,97229,2.75
Anse-Bertrand,971,97102,2.63
Baie-Mahault,971,97103,2.63
Baillif,971,97104,2.76
Basse-Terre,971,97105,2.76
Bouillante,971,97106,4.12
Capesterre-Belle-Eau,971,97107,2.63
Capesterre-de-Marie-Galante,971,97108,3.96
Deshaies,971,97111,2.34
Gourbeyre,971,97109,2.76
Goyave,971,97114,2.63
Grand-Bourg,971,97112,3.96
La Désirade,971,97110,2.63
Lamentin,971,97115,3.01
Le Gosier,971,97113,2.63
Le Moule,971,97117,2.63
