DPT de la commune,D102.0,Année
91,,2012
95,,2012
78,2.37,2012
94,2.05,2012
78,,2012
77,,2012
78,3.05,2012
78,1.88,2012
95,,2012
94,2.05,2012
78,2.37,2012
95,,2012
77,,2012
78,,2012
95,2.05,2012
77,,2012
78,,2012
91,,2012
91,,2012
77,,2012
92,2.05,2012
77,,2012
94,,2012
95,2.05,2012
77,,2012
77,1.92,2012
95,,2012
78,,2012
91,,2012
91,,2012
95,,2012
92,,2012
91,2.05,2012
95,2.89,2012
78,,2012
93,2.05,2012
77,,2012
78,,2012
77,,2012
93,2.05,2012
78,,2012
77,,2012
78,,2012
91,1.52,2012
78,,2012
91,,2012
91,,2012
95,2.05,2012
95,,2012
77,,2012
91,,2012
77,,2012
77,,2012
92,2.05,2012
93,,2012
95,2.89,2012
78,4.22,2012
77,,2012
91,,2012
91,,2012
77,,2012
77,,2012
77,2.08,2012
77,,2012
77,,2012
77,,2012
91,,2012
78,,2012
77,,2012
78,,2012
95,2.05,2012
77,,2012
77,,2012
95,,2012
77,,2012
77,,2012
95,2.15,2012
77,,2012
78,,2012
77,2.02,2012
95,,2012
95,2.05,2012
77,,2012
78,,2012
77,,2012
95,2.05,2012
91,2.05,2012
91,,2012
77,,2012
93,,2012
91,,2012
78,,2012
78,2.37,2012
78,,2012
92,,2012
91,,2012
78,4.22,2012
77,,2012
77,,2012
95,1.91,2012
78,,2012
77,,2012
77,,2012
77,,2012
94,,2012
77,,2012
91,,2012
77,,2012
91,,2012
91,,2012
78,,2012
91,,2012
77,,2012
77,,2012
91,,2012
93,,2012
78,,2012
95,,2012
94,,2012
78,,2012
95,2.89,2012
78,4.22,2012
77,,2012
77,,2012
92,2.05,2012
91,,2012
78,3.05,2012
92,2.05,2012
77,,2012
91,,2012
91,1.52,2012
77,,2012
91,,2012
91,,2012
77,2.58,2012
95,,2012
77,,2012
78,,2012
91,,2012
91,,2012
95,,2012
91,,2012
91,,2012
77,2.05,2012
91,,2012
78,,2012
91,,2012
91,,2012
94,2.05,2012
95,2.84,2012
91,,2012
78,,2012
78,4.22,2012
78,,2012
78,,2012
91,,2012
77,,2012
91,,2012
77,,2012
77,,2012
77,,2012
77,,2012
95,2.05,2012
78,,2012
95,2.05,2012
94,,2012
77,2.08,2012
77,,2012
78,,2012
78,,2012
95,1.91,2012
77,,2012
91,,2012
77,,2012
77,,2012
77,,2012
77,2.54,2012
77,,2012
77,,2012
77,,2012
77,,2012
91,,2012
91,,2012
91,,2012
78,1.88,2012
77,,2012
77,,2012
95,2.78,2012
77,2.63,2012
77,,2012
91,,2012
77,,2012
77,,2012
94,2.05,2012
91,,2012
91,,2012
77,,2012
77,,2012
77,,2012
78,,2012
78,,2012
94,2.05,2012
77,,2012
77,,2012
95,2.84,2012
77,,2012
77,,2012
91,2.37,2012
78,,2012
77,,2012
91,,2012
77,,2012
77,,2012
95,,2012
95,2.05,2012
78,4.22,2012
92,2.05,2012
77,2.05,2012
95,,2012
94,2.05,2012
77,,2012
91,,2012
77,,2012
91,,2012
94,,2012
77,,2012
77,,2012
77,,2012
91,,2012
77,,2012
94,2.05,2012
77,2.37,2012
78,4.22,2012
92,2.05,2012
77,,2012
77,,2012
92,2.05,2012
77,,2012
77,2.02,2012
77,,2012
78,,2012
78,2.37,2012
92,2.05,2012
77,,2012
92,2.05,2012
93,2.05,2012
77,2.21,2012
77,1.92,2012
78,4.22,2012
77,,2012
92,,2012
77,,2012
95,,2012
77,,2012
77,,2012
77,,2012
78,3.05,2012
95,,2012
78,,2012
91,,2012
77,1.92,2012
91,,2012
91,2.37,2012
95,2.05,2012
95,2.84,2012
77,,2012
93,2.05,2012
77,,2012
77,1.92,2012
77,,2012
77,,2012
77,,2012
91,,2012
92,,2012
77,2.08,2012
77,,2012
95,1.91,2012
91,,2012
77,1.94,2012
91,,2012
77,,2012
77,,2012
77,,2012
77,,2012
77,,2012
78,1.88,2012
77,,2012
77,,2012
78,,2012
91,,2012
77,1.92,2012
77,2.02,2012
77,,2012
77,,2012
94,,2012
77,,2012
77,,2012
91,,2012
77,,2012
77,,2012
77,,2012
78,,2012
77,,2012
77,,2012
78,2.19,2012
91,,2012
77,,2012
78,1.88,2012
95,2.05,2012
77,1.92,2012
77,,2012
95,2.05,2012
77,,2012
77,,2012
91,,2012
77,1.92,2012
93,2.05,2012
78,,2012
93,2.05,2012
95,2.05,2012
78,,2012
95,2.05,2012
95,,2012
95,2.05,2012
77,,2012
77,2.08,2012
77,,2012
77,,2012
77,,2012
78,,2012
77,,2012
77,,2012
78,1.88,2012
78,,2012
91,,2012
77,,2012
78,,2012
78,,2012
78,,2012
78,,2012
77,,2012
91,,2012
77,,2012
77,,2012
77,,2012
77,2.21,2012
78,,2012
78,,2012
77,,2012
92,2.05,2012
78,4.22,2012
91,,2012
91,,2012
94,2.05,2012
77,,2012
77,2.08,2012
91,,2012
95,2.15,2012
77,,2012
95,2.05,2012
78,,2012
94,,2012
77,,2012
77,,2012
95,1.78,2012
95,,2012
95,2.84,2012
95,2.05,2012
77,,2012
77,,2012
77,,2012
93,2.05,2012
78,,2012
78,,2012
78,,2012
78,,2012
78,,2012
92,4.22,2012
77,2.03,2012
78,,2012
95,,2012
77,,2012
78,3.05,2012
92,,2012
94,,2012
77,,2012
77,1.92,2012
77,,2012
91,,2012
77,,2012
91,,2012
91,,2012
91,,2012
78,,2012
95,,2012
77,,2012
78,,2012
93,2.05,2012
78,,2012
77,,2012
95,,2012
78,3.05,2012
77,2.21,2012
77,,2012
78,,2012
77,,2012
77,1.94,2012
91,,2012
77,,2012
77,,2012
95,2.05,2012
78,,2012
77,1.8,2012
77,,2012
78,,2012
78,,2012
91,,2012
77,,2012
91,,2012
91,,2012
78,,2012
77,,2012
78,4.22,2012
77,,2012
95,2.84,2012
78,,2012
78,,2012
77,,2012
95,2.05,2012
78,3.05,2012
77,,2012
77,,2012
78,,2012
78,2.05,2012
95,1.78,2012
77,,2012
95,,2012
77,,2012
91,2.05,2012
77,1.92,2012
77,,2012
78,,2012
92,2.05,2012
91,,2012
77,,2012
94,,2012
77,,2012
77,1.92,2012
78,,2012
91,,2012
91,,2012
77,,2012
94,2.05,2012
77,,2012
77,,2012
78,,2012
78,,2012
78,2.05,2012
77,,2012
95,1.91,2012
77,,2012
77,,2012
78,,2012
77,,2012
91,2.05,2012
78,,2012
94,2.05,2012
95,2.78,2012
78,,2012
93,2.05,2012
78,3.05,2012
77,2.08,2012
78,4.22,2012
78,2.37,2012
77,,2012
77,,2012
77,,2012
77,,2012
95,2.71,2012
77,,2012
93,2.05,2012
78,,2012
91,,2012
77,,2012
77,,2012
91,,2012
91,,2012
95,2.05,2012
92,,2012
77,2.4,2012
77,2.08,2012
77,,2012
78,3.05,2012
77,2.02,2012
77,,2012
91,,2012
94,2.78,2012
78,,2012
