Année,Département,Code INSEE,Commune,Début,Fin,Volume (m3),Code usage BNPE,Type d'eau,Longitude,Latitude,Précision de la localisation,Mode d'obtention du volume,Libellé du statut du volume d'eau,Libellé de qualification du volume d'eau,Nature du point de prélèvement
2022,78,78391,MERICOURT,01/01/2022,31/12/2022,12233668036,BAR,CONT,1.617161256022445,49.027018671857455,0,EST,Contrôlé Niveau 1,Correcte,P
2022,77,77463,THOMERY,01/01/2022,31/12/2022,6511022846,BAR,CONT,2.793028737925195,48.40100221529371,0,EST,Contrôlé Niveau 1,Correcte,P
2022,77,77210,GRANDE-PAROISSE,01/01/2022,31/12/2022,5593091745,BAR,CONT,2.9156944437328467,48.37480154088841,0,EST,Contrôlé Niveau 1,Correcte,P
2022,77,77096,CHARTRETTES,01/01/2022,31/12/2022,2734219974,BAR,CONT,2.706590266218682,48.482659965095024,0,EST,Contrôlé Niveau 1,Correcte,P
2022,93,93051,NOISY-LE-GRAND,01/01/2022,31/12/2022,126420400,AEP,CONT,2.570000093082049,48.832646723013085,5,MED,Contrôlé Niveau 1,Correcte,P
2022,94,94022,CHOISY-LE-ROI,01/01/2022,31/12/2022,121853400,AEP,CONT,2.4196575705780736,48.763470666017525,5,MED,Contrôlé Niveau 1,Correcte,P
2022,92,92040,ISSY-LES-MOULINEAUX,01/01/2022,31/12/2022,79295000,ENE,CONT,2.261804215907417,48.83293336353757,0,MED,Contrôlé Niveau 1,Correcte,P
2022,94,94018,CHARENTON-LE-PONT,01/01/2022,31/12/2022,77182888,IND,CONT,2.392787334071061,48.823884914242086,0,MED,Contrôlé Niveau 1,Correcte,P
2022,95,95394,MERY-SUR-OISE,01/01/2022,31/12/2022,70170636,AEP,CONT,2.1754529457983454,49.05177692096062,5,MED,Contrôlé Niveau 1,Correcte,P
2022,94,94054,ORLY,01/01/2022,31/12/2022,48848616,AEP,CONT,2.3873015480849737,48.740210998123686,5,MED,Contrôlé Niveau 1,Correcte,P
2022,94,94042,JOINVILLE-LE-PONT,01/01/2022,31/12/2022,47619400,AEP,CONT,2.472656723752696,48.81984432428277,5,MED,Contrôlé Niveau 1,Correcte,P
2022,75,75056,PARIS,01/01/2022,31/12/2022,40328215,IND,CONT,2.297760428634654,48.862936794558806,0,MED,Contrôlé Niveau 1,Correcte,P
2022,75,75056,PARIS,01/01/2022,31/12/2022,39776908,IND,CONT,2.310687199926944,48.86362350598737,0,MED,Contrôlé Niveau 1,Correcte,P
2022,91,91435,MORSANG-SUR-SEINE,01/01/2022,31/12/2022,36877511,AEP,CONT,2.5008212362937075,48.577476956050006,5,MED,Contrôlé Niveau 1,Correcte,P
2022,77,77005,ANNET-SUR-MARNE,01/01/2022,31/12/2022,26160035,AEP,CONT,2.702245241612941,48.92316629328916,5,MED,Contrôlé Niveau 1,Correcte,P
2022,77,77474,TRILBARDOU,01/01/2022,31/12/2022,24807402,CAN,CONT,2.797254342254971,48.94833271800746,0,MED,Contrôlé Niveau 1,Correcte,P
2022,77,77333,NEMOURS,01/01/2022,31/12/2022,23767333,CAN,CONT,2.695321900948919,48.27217784582383,0,FOR,Contrôlé Niveau 1,Correcte,P
2022,78,78350,LOUVECIENNES,01/01/2022,31/12/2022,22978335,AEP,SOUT,2.116554369368034,48.85951819711943,5,MED,Contrôlé Niveau 1,Correcte,P
2022,92,92073,SURESNES,01/01/2022,31/12/2022,21623106,AEP,CONT,2.221885115643703,48.87118042879041,5,MED,Contrôlé Niveau 1,Correcte,P
2022,77,77284,MEAUX,01/01/2022,31/12/2022,19049800,CAN,CONT,2.8823330196601487,48.95112616159203,0,FOR,Contrôlé Niveau 1,Correcte,P
2022,92,92026,COURBEVOIE,01/01/2022,31/12/2022,17140000,IND,CONT,2.2566143124630216,48.88925493416876,0,MED,Contrôlé Niveau 1,Correcte,P
2022,91,91687,VIRY-CHATILLON,01/01/2022,31/12/2022,16436470,AEP,CONT,2.373120857711412,48.666359918226206,5,MED,Contrôlé Niveau 1,Correcte,P
2022,75,75056,PARIS,01/01/2022,31/12/2022,16321977,IND,CONT,2.3706028763584017,48.84163167289336,0,MED,Contrôlé Niveau 1,Correcte,P
2022,77,77479,VAIRES-SUR-MARNE,01/01/2022,31/12/2022,13903120,CAN,CONT,2.6512638392456003,48.868805696157295,0,FOR,Contrôlé Niveau 1,Correcte,P
2022,77,77005,ANNET-SUR-MARNE,01/01/2022,31/12/2022,13070990,AEP,CONT,2.702245241612941,48.92316629328916,5,MED,Contrôlé Niveau 1,Correcte,P
2022,75,75056,PARIS,01/01/2022,31/12/2022,12461700,IND,CONT,2.3670133507222566,48.84437377083157,0,MED,Contrôlé Niveau 1,Correcte,P
2022,78,78481,PECQ,01/01/2022,31/12/2022,12170675,AEP,SOUT,2.108611844257095,48.89249131182158,5,MED,Contrôlé Niveau 1,Correcte,P
2022,77,77126,CONGIS-SUR-THEROUANNE,01/01/2022,31/12/2022,12026649,CAN,CONT,2.9700179044073804,49.01997902326434,0,MED,Contrôlé Niveau 1,Correcte,P
2022,91,91657,VIGNEUX-SUR-SEINE,01/01/2022,31/12/2022,8386870,AEP,CONT,2.4207095074737484,48.70203325291013,5,MED,Contrôlé Niveau 1,Correcte,P
2022,78,78517,RAMBOUILLET,01/01/2022,31/12/2022,6193262,AEP,SOUT,1.8282383675925715,48.65385080999674,5,MED,Contrôlé Niveau 1,Correcte,P
2022,77,77284,MEAUX,01/01/2022,31/12/2022,5857112,AEP,CONT,2.90410932530279,48.9572592133337,5,MED,Contrôlé Niveau 1,Correcte,P
2022,77,77283,MAY-EN-MULTIEN,01/01/2022,31/12/2022,4812608,CAN,CONT,3.044018853074401,49.079651892899605,0,MED,Contrôlé Niveau 1,Correcte,P
2022,91,91174,CORBEIL-ESSONNES,01/01/2022,31/12/2022,3618921,AEP,CONT,2.4675176446544924,48.59725141555544,5,MED,Contrôlé Niveau 1,Correcte,P
2022,94,94018,CHARENTON-LE-PONT,01/01/2022,31/12/2022,3518877,IND,CONT,2.392320588884582,48.82419732414081,0,MED,Contrôlé Niveau 1,Correcte,P
2022,93,93007,BLANC-MESNIL,01/01/2022,31/12/2022,3472508,AEP,SOUT,2.4695404228999083,48.93713054146114,5,MED,Contrôlé Niveau 1,Correcte,P
2022,91,91315,ITTEVILLE,01/01/2022,31/12/2022,3003901,AEP,CONT,2.34220487626838,48.514825079335225,5,MED,Contrôlé Niveau 1,Correcte,P
2022,77,77495,VERT-SAINT-DENIS,01/01/2022,31/12/2022,2790434,AEP,SOUT,2.631034150828497,48.56533059527969,5,MED,Contrôlé Niveau 1,Correcte,P
2022,78,78368,MAREIL-SUR-MAULDRE,01/01/2022,31/12/2022,2519148,AEP,SOUT,1.87412677078463,48.88913356638125,5,MED,Non qualifié,Non qualifié,P
2022,91,91435,MORSANG-SUR-SEINE,01/01/2022,31/12/2022,2396030,AEP,CONT,2.5008212362937075,48.577476956050006,5,MED,Contrôlé Niveau 1,Correcte,P
2022,77,77039,BOISSISE-LA-BERTRAND,01/01/2022,31/12/2022,2324398,AEP,SOUT,2.5932403636261405,48.53194910472847,5,MED,Contrôlé Niveau 1,Correcte,P
2022,78,78481,PECQ,01/01/2022,31/12/2022,2306578,AEP,SOUT,2.108611844257095,48.89249131182158,5,MED,Contrôlé Niveau 1,Correcte,P
2022,78,78567,SAINT-MARTIN-LA-GARENNE,01/01/2022,31/12/2022,2298411,AEP,SOUT,1.6801045299321038,49.03739862191661,5,MED,Contrôlé Niveau 1,Correcte,P
2022,78,78567,SAINT-MARTIN-LA-GARENNE,01/01/2022,31/12/2022,2243044,AEP,SOUT,1.6801045299321038,49.03739862191661,5,MED,Contrôlé Niveau 1,Correcte,P
2022,77,77255,LIVRY-SUR-SEINE,01/01/2022,31/12/2022,2094324,AEP,SOUT,2.688286630564797,48.50395455554387,5,MED,Contrôlé Niveau 1,Correcte,P
2022,77,77495,VERT-SAINT-DENIS,01/01/2022,31/12/2022,2020817,AEP,SOUT,2.631034150828497,48.56533059527969,5,MED,Contrôlé Niveau 1,Correcte,P
2022,78,78481,PECQ,01/01/2022,31/12/2022,1990360,AEP,SOUT,2.108611844257095,48.89249131182158,5,MED,Contrôlé Niveau 1,Correcte,P
2022,77,77039,BOISSISE-LA-BERTRAND,01/01/2022,31/12/2022,1922563,AEP,CONT,2.5932403636261405,48.53194910472847,5,MED,Contrôlé Niveau 1,Correcte,P
2022,77,77447,SEINE-PORT,01/01/2022,31/12/2022,1887227,AEP,SOUT,2.558215299385989,48.553578324660165,5,MED,Contrôlé Niveau 1,Correcte,P
2022,78,78005,ACHERES,01/01/2022,31/12/2022,1787534,IND,SOUT,2.168681768220889,48.977726180337655,0,MED,Contrôlé Niveau 1,Correcte,P
2022,77,77255,LIVRY-SUR-SEINE,01/01/2022,31/12/2022,1742206,AEP,SOUT,2.688286630564797,48.50395455554387,5,MED,Contrôlé Niveau 1,Correcte,P
2022,78,78118,BUCHELAY,01/01/2022,31/12/2022,1684832,AEP,SOUT,1.674224534943587,48.98299116998943,5,MED,Contrôlé Niveau 1,Correcte,P
2022,93,93070,SAINT-OUEN,01/01/2022,31/12/2022,1661484,IND,CONT,2.3233420076170304,48.91675598805985,0,MED,Contrôlé Niveau 1,Correcte,P
2022,78,78118,BUCHELAY,01/01/2022,31/12/2022,1652189,AEP,SOUT,1.674224534943587,48.98299116998943,5,MED,Contrôlé Niveau 1,Correcte,P
2022,75,75056,PARIS,01/01/2022,31/12/2022,1626182,IND,CONT,2.282961234510584,48.85174197641437,0,MED,Contrôlé Niveau 1,Correcte,P
2022,91,91577,SAINTRY-SUR-SEINE,01/01/2022,31/12/2022,1622041,AEP,SOUT,2.4940541641541785,48.59464614766978,5,MED,Contrôlé Niveau 1,Correcte,P
2022,77,77255,LIVRY-SUR-SEINE,01/01/2022,31/12/2022,1563777,AEP,SOUT,2.688286630564797,48.50395455554387,5,MED,Contrôlé Niveau 1,Correcte,P
2022,91,91687,VIRY-CHATILLON,01/01/2022,31/12/2022,1533862,AEP,CONT,2.373120857711412,48.666359918226206,5,MED,Contrôlé Niveau 1,Correcte,P
2022,77,77078,CHAMIGNY,01/01/2022,31/12/2022,1524957,AEP,SOUT,3.1413947252132037,48.98701027759421,5,MED,Contrôlé Niveau 1,Correcte,P
2022,94,94081,VITRY-SUR-SEINE,01/01/2022,31/12/2022,1522576,IND,CONT,2.4170435086977755,48.780232353072286,0,MED,Contrôlé Niveau 1,Correcte,P
2022,94,94081,VITRY-SUR-SEINE,01/01/2022,31/12/2022,1484319,IND,CONT,2.421348569465673,48.787187680154354,0,MED,Contrôlé Niveau 1,Correcte,P
2022,95,95052,BEAUMONT-SUR-OISE,01/01/2022,31/12/2022,1423778,AEP,SOUT,2.2845733913198742,49.13724848746941,5,MED,Contrôlé Niveau 1,Correcte,P
2022,92,92078,VILLENEUVE-LA-GARENNE,01/01/2022,31/12/2022,1411001,AEP,SOUT,2.328445957479119,48.93548380118172,5,MED,Contrôlé Niveau 1,Correcte,P
2022,91,91223,ETAMPES,01/01/2022,31/12/2022,1390136,AEP,SOUT,2.15381132675954,48.42256007397478,5,MED,Contrôlé Niveau 1,Correcte,P
2022,92,92051,NEUILLY-SUR-SEINE,01/01/2022,31/12/2022,1334914,AEP,SOUT,2.2684909467609264,48.8862779388937,5,MED,Contrôlé Niveau 1,Correcte,P
2022,77,77441,SAMOIS-SUR-SEINE,01/01/2022,31/12/2022,1275931,AEP,SOUT,2.75119417774219,48.45340328861012,5,MED,Contrôlé Niveau 1,Correcte,P
2022,77,77495,VERT-SAINT-DENIS,01/01/2022,31/12/2022,1269161,AEP,SOUT,2.631034150828497,48.56533059527969,5,MED,Contrôlé Niveau 1,Correcte,P
2022,95,95313,ISLE-ADAM,01/01/2022,31/12/2022,1263012,AEP,SOUT,2.232808996861035,49.10785560782085,5,MED,Contrôlé Niveau 1,Correcte,P
2022,95,95026,ASNIERES-SUR-OISE,01/01/2022,31/12/2022,1230202,AEP,SOUT,2.407359285420248,49.13812270490139,5,MED,Contrôlé Niveau 1,Correcte,P
2022,92,92051,NEUILLY-SUR-SEINE,01/01/2022,31/12/2022,1228101,AEP,SOUT,2.2684909467609264,48.8862779388937,5,MED,Contrôlé Niveau 1,Correcte,P
2022,78,78551,SAINT-GERMAIN-EN-LAYE,01/01/2022,31/12/2022,1221722,AEP,SOUT,2.0910834607634383,48.93090713424009,5,MED,Contrôlé Niveau 1,Correcte,P
2022,78,78567,SAINT-MARTIN-LA-GARENNE,01/01/2022,31/12/2022,1218722,AEP,SOUT,1.6801045299321038,49.03739862191661,5,MED,Contrôlé Niveau 1,Correcte,P
2022,91,91435,MORSANG-SUR-SEINE,01/01/2022,31/12/2022,1203500,AEP,SOUT,2.5008212362937075,48.577476956050006,5,MED,Contrôlé Niveau 1,Correcte,P
2022,78,78530,ROSAY,01/01/2022,31/12/2022,1180707,AEP,SOUT,1.682864801796708,48.91075343531399,5,MED,Non qualifié,Non qualifié,P
2022,77,77305,MONTEREAU-FAULT-YONNE,01/01/2022,31/12/2022,1176349,IND,CONT,2.964311887507004,48.390300527374336,0,MED,Contrôlé Niveau 1,Correcte,P
2022,78,78005,ACHERES,01/01/2022,31/12/2022,1135806,IND,SOUT,2.169728922864429,48.974603967331205,0,MED,Contrôlé Niveau 1,Correcte,P
2022,77,77255,LIVRY-SUR-SEINE,01/01/2022,31/12/2022,1126363,AEP,SOUT,2.688286630564797,48.50395455554387,5,MED,Contrôlé Niveau 1,Correcte,P
2022,78,78146,CHATOU,01/01/2022,31/12/2022,1123625,IND,CONT,2.1573332192003813,48.89826532315126,0,MED,Contrôlé Niveau 1,Correcte,P
2022,78,78291,GUERVILLE,01/01/2022,31/12/2022,1112818,IND,SOUT,1.7351588985817437,48.97290380909202,0,MED,Contrôlé Niveau 1,Correcte,P
2022,77,77125,CONDE-SAINTE-LIBIAIRE,01/01/2022,31/12/2022,1112334,AEP,SOUT,2.834662326604179,48.89827003491479,5,MED,Contrôlé Niveau 1,Correcte,P
2022,94,94018,CHARENTON-LE-PONT,01/01/2022,31/12/2022,1085683,IND,CONT,2.391812558293265,48.82454549713296,0,MED,Contrôlé Niveau 1,Correcte,P
2022,78,78551,SAINT-GERMAIN-EN-LAYE,01/01/2022,31/12/2022,1080808,AEP,SOUT,2.0910834607634383,48.93090713424009,5,MED,Non qualifié,Non qualifié,P
2022,91,91315,ITTEVILLE,01/01/2022,31/12/2022,1071498,AEP,SOUT,2.34220487626838,48.514825079335225,5,MED,Contrôlé Niveau 1,Correcte,P
2022,77,77061,CANNES-ECLUSE,01/01/2022,31/12/2022,1061223,AEP,SOUT,2.9922787499385937,48.36076654063385,5,MED,Contrôlé Niveau 1,Correcte,P
2022,77,77255,LIVRY-SUR-SEINE,01/01/2022,31/12/2022,1027769,AEP,SOUT,2.688286630564797,48.50395455554387,5,MED,Contrôlé Niveau 1,Correcte,P
2022,94,94046,MAISONS-ALFORT,01/01/2022,31/12/2022,1025178,IND,CONT,2.421401197432123,48.79471589292682,0,MED,Contrôlé Niveau 1,Correcte,P
2022,78,78567,SAINT-MARTIN-LA-GARENNE,01/01/2022,31/12/2022,1022852,AEP,SOUT,1.6801045299321038,49.03739862191661,5,MED,Contrôlé Niveau 1,Correcte,P
