Année,Numéro du département,Nom du département,Volume (m3)
2022,77,Seine-et-Marne,15112517468
2022,78,Yvelines,12357775314
2022,94,Val-de-Marne,311903211
2022,93,Seine-Saint-Denis,135694893
2022,92,Hauts-de-Seine,124193912
2022,75,Paris,111739777
2022,91,Essonne,105114750
2022,95,Val-d'Oise,92726976
2021,77,Seine-et-Marne,17471976109
2021,78,Yvelines,13982693444
2021,94,Val-de-Marne,305147793
2021,93,Seine-Saint-Denis,141522449
2021,92,Hauts-de-Seine,118883982
2021,91,Essonne,101109543
2021,75,Paris,88660509
2021,95,Val-d'Oise,82332842
2020,77,Seine-et-Marne,13938041189
2020,78,Yvelines,7023786602
2020,94,Val-de-Marne,298931305
2020,93,Seine-Saint-Denis,138972730
2020,92,Hauts-de-Seine,126096843
2020,91,Essonne,109500727
2020,95,Val-d'Oise,99227517
2020,75,Paris,90236068
2019,77,Seine-et-Marne,15960520820
2019,78,Yvelines,13405396374
2019,94,Val-de-Marne,328504861
2019,93,Seine-Saint-Denis,132091653
2019,92,Hauts-de-Seine,129574567
2019,75,Paris,109844845
2019,91,Essonne,107034625
2019,95,Val-d'Oise,94188210
2018,77,Seine-et-Marne,12449779287
2018,78,Yvelines,7432572416
2018,94,Val-de-Marne,325403310
2018,92,Hauts-de-Seine,130637833
2018,93,Seine-Saint-Denis,124371198
2018,75,Paris,122825199
2018,91,Essonne,105017809
2018,95,Val-d'Oise,91403470
2017,77,Seine-et-Marne,17226962082
2017,78,Yvelines,11234645097
2017,94,Val-de-Marne,329579595
2017,92,Hauts-de-Seine,138884524
2017,75,Paris,131009226
2017,93,Seine-Saint-Denis,119609940
2017,91,Essonne,102620370
2017,95,Val-d'Oise,93010450
2016,77,Seine-et-Marne,17016015508
2016,78,Yvelines,11495580236
2016,94,Val-de-Marne,320549953
2016,92,Hauts-de-Seine,128768820
2016,93,Seine-Saint-Denis,119414668
2016,75,Paris,110784511
2016,91,Essonne,97507902
2016,95,Val-d'Oise,92651889
2015,77,Seine-et-Marne,15619294456
2015,78,Yvelines,11485632927
2015,94,Val-de-Marne,450051697
2015,92,Hauts-de-Seine,128167620
2015,93,Seine-Saint-Denis,122433664
2015,75,Paris,103295240
2015,91,Essonne,99645242
2015,95,Val-d'Oise,95268032
2014,77,Seine-et-Marne,17538894797
2014,78,Yvelines,7912364676
2014,94,Val-de-Marne,516815345
2014,92,Hauts-de-Seine,140290210
2014,93,Seine-Saint-Denis,117414460
2014,75,Paris,114370773
2014,91,Essonne,94598541
2014,95,Val-d'Oise,94143385
2013,77,Seine-et-Marne,11072841469
2013,78,Yvelines,6259995315
2013,94,Val-de-Marne,706802736
2013,92,Hauts-de-Seine,140687962
2013,93,Seine-Saint-Denis,120342086
2013,75,Paris,103200749
2013,91,Essonne,96307879
2013,95,Val-d'Oise,95216723
2012,77,Seine-et-Marne,14575637577
2012,78,Yvelines,8723263971
2012,94,Val-de-Marne,630412625
2012,92,Hauts-de-Seine,145386418
2012,93,Seine-Saint-Denis,118197897
2012,91,Essonne,99180280
2012,95,Val-d'Oise,93560588
2012,75,Paris,89562779
2011,77,Seine-et-Marne,12702831723
2011,78,Yvelines,5279797267
2011,94,Val-de-Marne,558884625
2011,93,Seine-Saint-Denis,119052629
2011,92,Hauts-de-Seine,106894567
2011,91,Essonne,103466689
2011,95,Val-d'Oise,94162378
2011,75,Paris,84391447
2010,94,Val-de-Marne,637903898
2010,78,Yvelines,549521099
2010,77,Seine-et-Marne,259355934
2010,92,Hauts-de-Seine,129546348
2010,93,Seine-Saint-Denis,118404947
2010,91,Essonne,98946859
2010,75,Paris,98526172
2010,95,Val-d'Oise,95725468
2009,94,Val-de-Marne,726421591
2009,78,Yvelines,525834353
2009,77,Seine-et-Marne,259582667
2009,92,Hauts-de-Seine,137332307
2009,93,Seine-Saint-Denis,118918744
2009,75,Paris,114088642
2009,95,Val-d'Oise,95432855
2009,91,Essonne,94701075
2008,78,Yvelines,652372491
2008,94,Val-de-Marne,549738932
2008,77,Seine-et-Marne,259313703
2008,93,Seine-Saint-Denis,119423687
2008,75,Paris,116104886
2008,91,Essonne,91790942
2008,95,Val-d'Oise,88768857
2008,92,Hauts-de-Seine,20213079
