Année,Nom de l'usage,Code de l'usage,Volume total (m3),Proportion (%)
2022,EAU TURBINEE (barrage),BAR,27072002601,95.5
2022,EAU POTABLE,AEP,817019047,2.9
2022,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",IND,248521020,0.9
2022,CANAUX,CAN,98366912,0.3
2022,ENERGIE,ENE,80249859,0.3
2022,IRRIGATION,IRR,35506862,0.1
2021,EAU TURBINEE (barrage),BAR,31090062465,96.3
2021,EAU POTABLE,AEP,794852219,2.5
2021,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",IND,229308747,0.7
2021,CANAUX,CAN,83887235,0.3
2021,ENERGIE,ENE,78649623,0.2
2021,IRRIGATION,IRR,15566382,<0.1
2020,EAU TURBINEE (barrage),BAR,20553662267,94.2
2020,EAU POTABLE,AEP,810357377,3.7
2020,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",IND,246689862,1.1
2020,CANAUX,CAN,95267235,0.4
2020,ENERGIE,ENE,79616393,0.4
2020,IRRIGATION,IRR,39199847,0.2
2019,EAU TURBINEE (barrage),BAR,28973003880,95.7
2019,EAU POTABLE,AEP,823455795,2.7
2019,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",IND,323872111,1.1
2019,CANAUX,CAN,91331253,0.3
2019,IRRIGATION,IRR,29834808,0.1
2019,ENERGIE,ENE,25658108,0.1
2018,EAU TURBINEE (barrage),BAR,19486915597,93.8
2018,EAU POTABLE,AEP,816734322,3.9
2018,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",IND,282465164,1.4
2018,CANAUX,CAN,84456653,0.4
2018,ENERGIE,ENE,82892234,0.4
2018,IRRIGATION,IRR,28546552,0.1
2017,EAU TURBINEE (barrage),BAR,28003443709,95.3
Année,Nom de l'usage,Code de l'usage,Volume total (m3),Proportion (%)
2017,EAU POTABLE,AEP,807923850,2.8
2017,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",IND,280869371,1.0
2017,ENERGIE,ENE,173267179,0.6
2017,CANAUX,CAN,89404706,0.3
2017,IRRIGATION,IRR,21412469,0.1
2016,EAU TURBINEE (barrage),BAR,28062552240,95.5
2016,EAU POTABLE,AEP,805200329,2.7
2016,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",IND,253137999,0.9
2016,ENERGIE,ENE,159772240,0.5
2016,CANAUX,CAN,81454393,0.3
2016,IRRIGATION,IRR,19156286,0.1
2015,EAU TURBINEE (barrage),BAR,26600793687,94.7
2015,EAU POTABLE,AEP,822298123,2.9
2015,ENERGIE,ENE,320046115,1.1
2015,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",IND,245078783,0.9
2015,CANAUX,CAN,84924636,0.3
2015,IRRIGATION,IRR,30647534,0.1
2014,EAU TURBINEE (barrage),BAR,24999988131,94.2
2014,EAU POTABLE,AEP,805213666,3.0
2014,ENERGIE,ENE,370505972,1.4
2014,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",IND,264212686,1.0
2014,CANAUX,CAN,74211377,0.3
2014,IRRIGATION,IRR,14760355,0.1
2013,EAU TURBINEE (barrage),BAR,16841166112,90.6
2013,EAU POTABLE,AEP,809806509,4.4
2013,ENERGIE,ENE,574856805,3.1
2013,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",IND,269842652,1.5
2013,CANAUX,CAN,83363054,0.4
2013,IRRIGATION,IRR,16359787,0.1
2012,EAU TURBINEE (barrage),BAR,22597860584,92.3
2012,EAU POTABLE,AEP,819575327,3.3
Année,Nom de l'usage,Code de l'usage,Volume total (m3),Proportion (%)
2012,ENERGIE,ENE,717882988,2.9
2012,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",IND,259546678,1.1
2012,CANAUX,CAN,66801661,0.3
2012,IRRIGATION,IRR,13534897,0.1
2011,EAU TURBINEE (barrage),BAR,17414372158,91.4
2011,EAU POTABLE,AEP,845455495,4.4
2011,ENERGIE,ENE,367902612,1.9
2011,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",IND,317046266,1.7
2011,CANAUX,CAN,74730750,0.4
2011,IRRIGATION,IRR,29974044,0.2
2010,EAU POTABLE,AEP,871056848,43.8
2010,ENERGIE,ENE,762222005,38.3
2010,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",IND,260072267,13.1
2010,CANAUX,CAN,70940473,3.6
2010,IRRIGATION,IRR,23639132,1.2
2009,EAU POTABLE,AEP,875182618,42.2
2009,ENERGIE,ENE,816427682,39.4
2009,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",IND,288660050,13.9
2009,CANAUX,CAN,73047668,3.5
2009,IRRIGATION,IRR,18994216,0.9
2008,EAU POTABLE,AEP,861193784,45.4
2008,ENERGIE,ENE,633587918,33.4
2008,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",IND,323965899,17.1
2008,CANAUX,CAN,61774486,3.3
2008,IRRIGATION,IRR,17204490,0.9
