code_commune;code_departement;nom_departement;nom_commune;code_prelevement;date_prelevement;conclusion_conformite_prelevement;conformite_limites_bact_prelevement;conformite_limites_pc_prelevement;conformite_references_bact_prelevement;conformite_references_pc_prelevement;qualite_generale
2590;77;Seine-et-Marne;PARGNY-LA-DHUYS;7700246908;2024-08-20 09:31:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Sans objet;Non conforme;Sans objet;Non conforme;Non conforme aux limites et non conforme aux références 
10355;77;Seine-et-Marne;SAINT-NICOLAS-LA-CHAPELLE;7700248431;2024-07-12 09:30:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Conforme;Conforme;Conforme;Conforme;Conforme aux limites et aux références
51625;77;Seine-et-Marne;VILLENEUVE-LA-LIONNE;7700233947;2022-07-20 00:00:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Conforme;Conforme;Conforme;Conforme;Conforme aux limites et aux références
60656;77;Seine-et-Marne;VARINFROY;7700244540;2024-05-07 10:09:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Conforme;Conforme;Conforme;Conforme;Conforme aux limites et aux références
77001;77;Seine-et-Marne;ACHERES-LA-FORET;7700249950;2024-12-10 11:53:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Conforme;Conforme;Conforme;Conforme;Conforme aux limites et aux références
77002;77;Seine-et-Marne;AMILLIS;7700244416;2024-05-14 10:07:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Conforme;Conforme;Conforme;Conforme;Conforme aux limites et aux références
77003;77;Seine-et-Marne;AMPONVILLE;7700248702;2024-10-21 11:32:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Conforme;Conforme;Conforme;Conforme;Conforme aux limites et aux références
77004;77;Seine-et-Marne;ANDREZEL;7700248325;2024-10-04 08:46:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Conforme;Conforme;Conforme;Conforme;Conforme aux limites et aux références
77005;77;Seine-et-Marne;ANNET-SUR-MARNE;7700249987;2024-12-11 10:06:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Conforme;Conforme;Conforme;Conforme;Conforme aux limites et aux références
77006;77;Seine-et-Marne;ARBONNE-LA-FORET;7700248495;2024-10-11 11:24:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Conforme;Conforme;Conforme;Conforme;Conforme aux limites et aux références
77007;77;Seine-et-Marne;ARGENTIERES;7700246803;2024-08-09 10:18:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Conforme;Conforme;Conforme;Conforme;Conforme aux limites et aux références
77008;77;Seine-et-Marne;ARMENTIERES-EN-BRIE;7700249330;2024-11-19 09:57:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. Toutefois, les valeurs en chlore mesurées sont trop faibles, il est recommandé d'avoir des valeurs minimales de 0,10 mg/l sur l’ensemble du réseau de distribution.;Conforme;Conforme;Conforme;Conforme;Conforme aux limites et aux références
77009;77;Seine-et-Marne;ARVILLE;7700249120;2024-11-12 09:41:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Sans objet;Conforme;Sans objet;Conforme;Conforme aux limites et aux références
77010;77;Seine-et-Marne;AUBEPIERRE-OZOUER-LE-REPOS;7700249004;2024-11-04 11:55:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Conforme;Conforme;Conforme;Conforme;Conforme aux limites et aux références
77011;77;Seine-et-Marne;AUFFERVILLE;7700248496;2024-10-11 10:03:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Conforme;Conforme;Conforme;Conforme;Conforme aux limites et aux références
77012;77;Seine-et-Marne;AUGERS-EN-BRIE;7700248705;2024-10-21 13:59:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Conforme;Conforme;Conforme;Conforme;Conforme aux limites et aux références
77013;77;Seine-et-Marne;AULNOY;7700247317;2024-08-29 11:54:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Conforme;Conforme;Conforme;Conforme;Conforme aux limites et aux références
77014;77;Seine-et-Marne;AVON;7700249961;2024-12-11 14:28:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Conforme;Conforme;Conforme;Conforme;Conforme aux limites et aux références
77015;77;Seine-et-Marne;BABY;7700247361;2024-09-04 10:52:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Conforme;Conforme;Conforme;Conforme;Conforme aux limites et aux références
