code_commune;code_departement;nom_departement;nom_commune;code_prelevement;date_prelevement;conclusion_conformite_prelevement;conformite_limites_bact_prelevement;conformite_limites_pc_prelevement;conformite_references_bact_prelevement;conformite_references_pc_prelevement;qualite_generale
77005;93;Seine-Saint-Denis;ANNET-SUR-MARNE;9300142027;2024-09-18 09:46:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
77282;93;Seine-Saint-Denis;MAUREGARD;9300143006;2024-12-05 12:33:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
77291;93;Seine-Saint-Denis;MESNIL-AMELOT (LE);9300142949;2024-12-13 09:28:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93001;93;Seine-Saint-Denis;AUBERVILLIERS;9300143011;2024-12-20 10:43:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93005;93;Seine-Saint-Denis;AULNAY-SOUS-BOIS;9300143013;2024-12-20 11:47:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93006;93;Seine-Saint-Denis;BAGNOLET;9300142857;2024-12-03 12:35:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93007;93;Seine-Saint-Denis;BLANC-MESNIL (LE);9300143014;2024-12-20 13:43:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93008;93;Seine-Saint-Denis;BOBIGNY;9300142859;2024-12-03 10:43:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93010;93;Seine-Saint-Denis;BONDY;9300143008;2024-12-19 11:34:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
93013;93;Seine-Saint-Denis;BOURGET (LE);9300142846;2024-12-02 13:07:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;C;C;C;C;Conforme aux limites et aux références
