Commune;Departement;Code INSEE;D102.0;Année;D204.0;prix_total
Ablis;78;78003;2.37;2012;;
Ablis;78;78003;2.42;2013;;
Ablis;78;78003;2.46;2014;;
Ablis;78;78003;2.54;2015;;
Ablis;78;78003;2.58;2016;2.05;4.63
Ablis;78;78003;2.6;2017;1.99;4.59
Ablis;78;78003;2.59;2018;2.08;4.67
Ablis;78;78003;2.61;2019;2.1;4.71
Ablis;78;78003;2.64;2020;2.17;4.81
Ablis;78;78003;2.67;2021;2.54;5.21
Ablis;78;78003;2.7;2022;2.8;5.5
Ablis;78;78003;2.72;2023;;
Achères;78;78005;;2012;;
Achères;78;78005;;2013;;
Achères;78;78005;;2014;;
Achères;78;78005;;2015;;
Achères;78;78005;3.03;2016;3.03;6.06
Achères;78;78005;2.99;2017;3.31;6.3
Achères;78;78005;3.14;2018;3.24;6.38
Achères;78;78005;3.24;2019;;
Achères;78;78005;3.3;2020;2.9;6.2
Achères;78;78005;3.66;2021;3.02;6.68
Achères;78;78005;3.62;2022;3.17;6.79
Achères;78;78005;3.64;2023;;
Adainville;78;78006;3.05;2012;;
Adainville;78;78006;3.13;2013;;
Adainville;78;78006;3.26;2014;;
Adainville;78;78006;3.41;2015;;
Adainville;78;78006;3.51;2016;;
Adainville;78;78006;3.67;2017;;
Adainville;78;78006;3.79;2018;;
Adainville;78;78006;3.57;2019;;
Adainville;78;78006;3.96;2020;;
Adainville;78;78006;4.0;2021;;
Adainville;78;78006;4.1;2022;;
Adainville;78;78006;4.16;2023;;
Aigremont;78;78007;1.88;2012;;
Aigremont;78;78007;1.91;2013;;
Aigremont;78;78007;1.93;2014;;
Aigremont;78;78007;1.93;2015;;
Aigremont;78;78007;1.94;2016;;
Aigremont;78;78007;1.93;2017;;
Aigremont;78;78007;1.95;2018;;
Aigremont;78;78007;1.93;2019;;
Aigremont;78;78007;1.97;2020;;
Aigremont;78;78007;1.97;2021;;
Aigremont;78;78007;1.99;2022;;
Aigremont;78;78007;2.42;2023;;
Allainville;78;78009;2.37;2012;;
Allainville;78;78009;2.42;2013;;
Allainville;78;78009;2.46;2014;;
Allainville;78;78009;2.54;2015;;
Allainville;78;78009;2.58;2016;2.05;4.63
Allainville;78;78009;2.6;2017;1.99;4.59
Allainville;78;78009;2.59;2018;2.08;4.67
Allainville;78;78009;2.61;2019;2.1;4.71
Allainville;78;78009;2.64;2020;2.17;4.81
Allainville;78;78009;2.67;2021;2.54;5.21
Allainville;78;78009;2.7;2022;2.8;5.5
Allainville;78;78009;2.72;2023;;
Les Alluets-le-Roi;78;78010;1.88;2012;;
Les Alluets-le-Roi;78;78010;1.91;2013;;
Les Alluets-le-Roi;78;78010;1.93;2014;;
Les Alluets-le-Roi;78;78010;1.93;2015;;
Les Alluets-le-Roi;78;78010;1.94;2016;;
Les Alluets-le-Roi;78;78010;1.93;2017;;
Les Alluets-le-Roi;78;78010;1.95;2018;;
Les Alluets-le-Roi;78;78010;1.93;2019;;
Les Alluets-le-Roi;78;78010;1.97;2020;;
Les Alluets-le-Roi;78;78010;1.97;2021;;
Les Alluets-le-Roi;78;78010;1.99;2022;;
Les Alluets-le-Roi;78;78010;2.42;2023;;
Andelu;78;78013;;2012;;
