Commune;Departement;Code INSEE;D102.0;Année;D204.0;prix_total
Antony;92;92002;3.58;2023;;
Asnières-sur-Seine;92;92004;2.45;2023;;
Bagneux;92;92007;3.58;2023;;
Bois-Colombes;92;92009;2.45;2023;;
Boulogne-Billancourt;92;92012;2.32;2023;;
Bourg-la-Reine;92;92014;3.58;2023;;
Châtenay-Malabry;92;92019;3.58;2023;;
Châtillon;92;92020;3.58;2023;;
Chaville;92;92022;2.32;2023;;
Clamart;92;92023;3.58;2023;;
Clichy;92;92024;2.32;2023;;
Colombes;92;92025;2.45;2023;;
Courbevoie;92;92026;2.45;2023;;
Fontenay-aux-Roses;92;92032;3.58;2023;;
Garches;92;92033;2.69;2023;;
La Garenne-Colombes;92;92035;2.45;2023;;
Gennevilliers;92;92036;2.45;2023;;
Issy-les-Moulineaux;92;92040;2.32;2023;;
Levallois-Perret;92;92044;2.32;2023;;
Malakoff;92;92046;3.58;2023;;
Marnes-la-Coquette;92;92047;2.69;2023;;
Meudon;92;92048;2.32;2023;;
Montrouge;92;92049;3.58;2023;;
Nanterre;92;92050;2.45;2023;;
Neuilly-sur-Seine;92;92051;2.32;2023;;
Le Plessis-Robinson;92;92060;3.58;2023;;
Puteaux;92;92062;2.32;2023;;
Rueil-Malmaison;92;92063;2.45;2023;;
Saint-Cloud;92;92064;2.69;2023;;
Sceaux;92;92071;3.58;2023;;
Sèvres;92;92072;2.32;2023;;
Suresnes;92;92073;2.45;2023;;
Vanves;92;92075;2.32;2023;;
Vaucresson;92;92076;2.69;2023;;
Ville-d'Avray;92;92077;2.69;2023;;
Villeneuve-la-Garenne;92;92078;2.45;2023;;
