code_commune;code_departement;nom_departement;nom_commune;code_prelevement;date_prelevement;conclusion_conformite_prelevement;conformite_limites_bact_prelevement;conformite_limites_pc_prelevement;conformite_references_bact_prelevement;conformite_references_pc_prelevement;qualite_generale
27213;95;Val-d'Oise;VEXIN-SUR-EPTE;9500181086;2024-07-24 09:30:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Sans objet;Conforme;Sans objet;Conforme;Conforme aux limites et aux références
60517;95;Val-d'Oise;PUISEUX-LE-HAUBERGER;9500181108;2024-06-27 10:14:00+00:00;Eau d'alimentation non-conforme aux limites de qualité et conforme aux références de qualité.;Conforme;Non conforme;Conforme;Conforme;Non conforme aux limites et conforme aux références 
77005;95;Val-d'Oise;ANNET-SUR-MARNE;9500181136;2024-08-07 08:58:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Conforme;Conforme;Conforme;Conforme;Conforme aux limites et aux références
77282;95;Val-d'Oise;MAUREGARD;9500181206;2024-05-15 12:04:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Conforme;Conforme;Conforme;Conforme;Conforme aux limites et aux références
77363;95;Val-d'Oise;PIN (LE);9500181158;2024-08-14 08:56:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Conforme;Conforme;Conforme;Conforme;Conforme aux limites et aux références
77464;95;Val-d'Oise;THORIGNY-SUR-MARNE;9500181178;2024-08-14 08:20:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Conforme;Conforme;Conforme;Conforme;Conforme aux limites et aux références
78401;95;Val-d'Oise;MEULAN-EN-YVELINES;9500157366;2019-12-05 09:24:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Sans objet;Conforme;Sans objet;Conforme;Conforme aux limites et aux références
93050;95;Val-d'Oise;NEUILLY-SUR-MARNE;9500181242;2024-08-30 08:14:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Conforme;Conforme;Conforme;Conforme;Conforme aux limites et aux références
95002;95;Val-d'Oise;ABLEIGES;9500180632;2024-08-13 09:20:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Sans objet;Conforme;Sans objet;Conforme;Conforme aux limites et aux références
95008;95;Val-d'Oise;AINCOURT;9500181678;2024-10-17 11:10:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Conforme;Conforme;Conforme;Conforme;Conforme aux limites et aux références
95011;95;Val-d'Oise;AMBLEVILLE;9500182173;2024-11-20 08:23:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Sans objet;Conforme;Sans objet;Conforme;Conforme aux limites et aux références
95012;95;Val-d'Oise;AMENUCOURT;9500181455;2024-09-25 09:10:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Sans objet;Conforme;Sans objet;Conforme;Conforme aux limites et aux références
95014;95;Val-d'Oise;ANDILLY;9500181365;2024-09-27 08:59:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Conforme;Conforme;Conforme;Conforme;Conforme aux limites et aux références
95018;95;Val-d'Oise;ARGENTEUIL;9500182340;2024-11-28 11:34:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Conforme;Conforme;Conforme;Conforme;Conforme aux limites et aux références
95019;95;Val-d'Oise;ARNOUVILLE;9500182325;2024-11-29 10:04:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Conforme;Conforme;Conforme;Conforme;Conforme aux limites et aux références
95023;95;Val-d'Oise;ARRONVILLE;9500181702;2024-09-30 08:38:00+00:00;Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.;Sans objet;Conforme;Sans objet;Conforme;Conforme aux limites et aux références
