Commune;Departement;Code INSEE;D102.0;Année;D204.0;prix_total
Ablon-sur-Seine;94;94001;3.22;2023;;
Alfortville;94;94002;2.32;2023;;
Arcueil;94;94003;3.22;2023;;
Boissy-Saint-Léger;94;94004;3.17;2023;;
Bonneuil-sur-Marne;94;94011;3.17;2023;;
Bry-sur-Marne;94;94015;2.32;2023;;
Cachan;94;94016;3.22;2023;;
Champigny-sur-Marne;94;94017;2.32;2023;;
Charenton-le-Pont;94;94018;2.32;2023;;
Chennevières-sur-Marne;94;94019;2.32;2023;;
Chevilly-Larue;94;94021;3.22;2023;;
Choisy-le-Roi;94;94022;3.22;2023;;
Créteil;94;94028;3.17;2023;;
Fontenay-sous-Bois;94;94033;2.32;2023;;
Fresnes;94;94034;3.22;2023;;
Gentilly;94;94037;3.22;2023;;
L' Haÿ-les-Roses;94;94038;3.22;2023;;
Ivry-sur-Seine;94;94041;3.22;2023;;
Joinville-le-Pont;94;94042;2.32;2023;;
Le Kremlin-Bicêtre;94;94043;3.22;2023;;
Limeil-Brévannes;94;94044;3.17;2023;;
Maisons-Alfort;94;94046;2.32;2023;;
Mandres-les-Roses;94;94047;3.17;2023;;
Nogent-sur-Marne;94;94052;2.32;2023;;
Noiseau;94;94053;3.17;2023;;
Orly;94;94054;3.22;2023;;
Ormesson-sur-Marne;94;94055;3.17;2023;;
Périgny;94;94056;3.17;2023;;
Le Perreux-sur-Marne;94;94058;2.32;2023;;
Le Plessis-Trévise;94;94059;3.15;2023;;
La Queue-en-Brie;94;94060;3.15;2023;;
Rungis;94;94065;3.22;2023;;
Saint-Mandé;94;94067;2.32;2023;;
Saint-Maur-des-Fossés;94;94068;2.32;2023;;
Saint-Maurice;94;94069;2.32;2023;;
Sucy-en-Brie;94;94071;3.17;2023;;
Thiais;94;94073;3.22;2023;;
Villejuif;94;94076;3.22;2023;;
Villeneuve-le-Roi;94;94077;3.22;2023;;
Villiers-sur-Marne;94;94079;2.32;2023;;
Vincennes;94;94080;2.32;2023;;
Vitry-sur-Seine;94;94081;3.22;2023;;
