Commune;Departement;Code INSEE;D102.0;Année;D204.0;prix_total
Ableiges;95;95002;;2012;;
Ableiges;95;95002;;2013;;
Ableiges;95;95002;;2014;;
Ableiges;95;95002;;2015;;
Ableiges;95;95002;;2016;;
Ableiges;95;95002;;2017;;
Ableiges;95;95002;;2018;;
Ableiges;95;95002;;2019;;
Ableiges;95;95002;;2020;;
Ableiges;95;95002;;2021;;
Ableiges;95;95002;;2022;;
Ableiges;95;95002;2.58;2023;;
Aincourt;95;95008;;2012;;
Aincourt;95;95008;;2013;;
Aincourt;95;95008;;2014;;
Aincourt;95;95008;;2015;;
Aincourt;95;95008;;2016;;
Aincourt;95;95008;;2017;;
Aincourt;95;95008;;2018;;
Aincourt;95;95008;;2019;;
Aincourt;95;95008;;2020;;
Aincourt;95;95008;;2021;;
Aincourt;95;95008;;2022;;
Aincourt;95;95008;2.58;2023;;
Amenucourt;95;95012;;2012;;
Amenucourt;95;95012;;2013;;
Amenucourt;95;95012;3.2;2014;;
Amenucourt;95;95012;3.21;2015;;
Amenucourt;95;95012;3.17;2016;;
Amenucourt;95;95012;;2017;;
Amenucourt;95;95012;;2018;;
Amenucourt;95;95012;;2019;;
Amenucourt;95;95012;;2020;;
Amenucourt;95;95012;;2021;;
Amenucourt;95;95012;3.78;2022;;
Amenucourt;95;95012;3.74;2023;;
Andilly;95;95014;2.05;2012;;
Andilly;95;95014;2.04;2013;;
Andilly;95;95014;2.05;2014;;
Andilly;95;95014;2.06;2015;;
Andilly;95;95014;1.97;2016;;
Andilly;95;95014;1.97;2017;;
Andilly;95;95014;1.97;2018;;
Andilly;95;95014;1.86;2019;;
Andilly;95;95014;2.09;2020;;
Andilly;95;95014;2.13;2021;;
Andilly;95;95014;2.25;2022;;
Andilly;95;95014;2.32;2023;;
Argenteuil;95;95018;2.05;2012;;
Argenteuil;95;95018;2.04;2013;;
Argenteuil;95;95018;2.05;2014;;
Argenteuil;95;95018;2.06;2015;;
Argenteuil;95;95018;1.97;2016;;
Argenteuil;95;95018;1.97;2017;;
Argenteuil;95;95018;1.97;2018;;
Argenteuil;95;95018;1.86;2019;;
Argenteuil;95;95018;2.09;2020;;
Argenteuil;95;95018;2.13;2021;;
Argenteuil;95;95018;2.25;2022;;
Argenteuil;95;95018;2.32;2023;;
Arnouville;95;95019;;2012;;
Arnouville;95;95019;;2013;;
Arnouville;95;95019;;2014;;
Arnouville;95;95019;2.33;2015;;
Arnouville;95;95019;2.3;2016;;
Arnouville;95;95019;2.34;2017;;
Arnouville;95;95019;2.41;2018;;
Arnouville;95;95019;2.48;2019;;
Arnouville;95;95019;2.51;2020;;
Arnouville;95;95019;2.64;2021;;
Arnouville;95;95019;2.8;2022;;
Arnouville;95;95019;3.06;2023;;
Asnières-sur-Oise;95;95026;;2012;;
Asnières-sur-Oise;95;95026;;2013;;
Asnières-sur-Oise;95;95026;;2014;;
Asnières-sur-Oise;95;95026;;2015;;
Asnières-sur-Oise;95;95026;;2016;;
Asnières-sur-Oise;95;95026;;2017;;
Asnières-sur-Oise;95;95026;;2018;;
Asnières-sur-Oise;95;95026;;2019;;
Asnières-sur-Oise;95;95026;2.58;2020;;
Asnières-sur-Oise;95;95026;2.59;2021;;
Asnières-sur-Oise;95;95026;2.93;2022;;
Asnières-sur-Oise;95;95026;2.98;2023;;
Attainville;95;95028;2.89;2012;;
Attainville;95;95028;;2013;;
Attainville;95;95028;2.6;2014;;
Attainville;95;95028;3.17;2015;;
Attainville;95;95028;3.19;2016;;
Attainville;95;95028;2.63;2017;;
Attainville;95;95028;2.69;2018;;
Attainville;95;95028;2.73;2019;;
Attainville;95;95028;2.72;2020;;
Attainville;95;95028;2.82;2021;;
Attainville;95;95028;2.97;2022;;
Attainville;95;95028;3.09;2023;;
Auvers-sur-Oise;95;95039;2.05;2012;;
Auvers-sur-Oise;95;95039;2.04;2013;;
Auvers-sur-Oise;95;95039;2.05;2014;;
Auvers-sur-Oise;95;95039;2.06;2015;;
Auvers-sur-Oise;95;95039;1.97;2016;;
Auvers-sur-Oise;95;95039;1.97;2017;;
Auvers-sur-Oise;95;95039;1.97;2018;;
Auvers-sur-Oise;95;95039;1.86;2019;;
Auvers-sur-Oise;95;95039;2.09;2020;;
Auvers-sur-Oise;95;95039;2.13;2021;;
Auvers-sur-Oise;95;95039;2.25;2022;;
Auvers-sur-Oise;95;95039;2.32;2023;;
Avernes;95;95040;;2012;;
Avernes;95;95040;;2013;;
Avernes;95;95040;;2014;;
Avernes;95;95040;;2015;;
Avernes;95;95040;;2016;;
Avernes;95;95040;;2017;;
Avernes;95;95040;;2018;;
Avernes;95;95040;;2019;;
Avernes;95;95040;;2020;;
Avernes;95;95040;;2021;;
Avernes;95;95040;;2022;;
Avernes;95;95040;2.58;2023;;
Baillet-en-France;95;95042;2.89;2012;;
Baillet-en-France;95;95042;;2013;;
Baillet-en-France;95;95042;2.6;2014;;
Baillet-en-France;95;95042;3.17;2015;;
Baillet-en-France;95;95042;3.19;2016;;
Baillet-en-France;95;95042;2.63;2017;;
Baillet-en-France;95;95042;2.69;2018;;
Baillet-en-France;95;95042;2.73;2019;;
Baillet-en-France;95;95042;2.72;2020;;
Baillet-en-France;95;95042;2.82;2021;;
Baillet-en-France;95;95042;2.97;2022;;
Baillet-en-France;95;95042;3.09;2023;;
Beauchamp;95;95051;2.05;2012;;
Beauchamp;95;95051;2.04;2013;;
Beauchamp;95;95051;2.05;2014;;
